지방청,관서,발생건수(2017년)
서울,서울중부경찰서,"6,858"
서울,서울종로경찰서,"6,128"
서울,서울남대문경찰서,"5,337"
서울,서울서대문경찰서,"9,004"
서울,서울혜화경찰서,"5,613"
서울,서울용산경찰서,"10,914"
서울,서울성북경찰서,"5,322"
서울,서울동대문경찰서,"11,316"
서울,서울마포경찰서,"15,228"
서울,서울영등포경찰서,"18,498"
서울,서울성동경찰서,"8,754"
서울,서울동작경찰서,"8,952"
서울,서울광진경찰서,"12,005"
서울,서울서부경찰서,"3,831"
서울,서울강북경찰서,"8,980"
서울,서울금천경찰서,"10,215"
서울,서울중랑경찰서,"11,323"
서울,서울강남경찰서,"18,789"
서울,서울관악경찰서,"15,353"
서울,서울강서경찰서,"15,611"
서울,서울강동경찰서,"10,978"
서울,서울종암경찰서,"4,651"
서울,서울구로경찰서,"13,223"
서울,서울서초경찰서,"14,505"
서울,서울양천경찰서,"10,392"
서울,서울송파경찰서,"18,407"
서울,서울노원경찰서,"11,558"
서울,서울방배경찰서,"4,051"
서울,서울은평경찰서,"6,423"
서울,서울도봉경찰서,"6,488"
서울,서울수서경찰서,"11,486"
부산,부산중부경찰서,"4,863"
부산,부산동래경찰서,"8,445"
부산,부산영도경찰서,"3,747"
부산,부산동부경찰서,"5,348"
부산,부산진경찰서,"16,638"
부산,부산서부경찰서,"4,103"
부산,부산남부경찰서,"12,720"
부산,부산해운대경찰서,"12,169"
부산,부산사상경찰서,"8,641"
부산,부산금정경찰서,"6,743"
부산,부산사하경찰서,"9,114"
부산,부산연제경찰서,"8,471"
부산,부산강서경찰서,"4,212"
부산,부산북부경찰서,"6,904"
부산,부산기장경찰서,"4,331"
대구,대구중부경찰서,"6,134"
대구,대구동부경찰서,"10,743"
대구,대구서부경찰서,"7,236"
대구,대구남부경찰서,"5,805"
대구,대구북부경찰서,"6,814"
대구,대구수성경찰서,"10,514"
대구,대구달서경찰서,"7,910"
대구,대구성서경찰서,"8,973"
대구,대구달성경찰서,"4,770"
대구,대구강북경찰서,"6,117"
인천,인천중부경찰서,"7,938"
인천,인천미추홀경찰서,"16,504"
인천,인천남동경찰서,"14,783"
인천,인천부평경찰서,"8,945"
인천,인천삼산경찰서,"8,967"
인천,인천서부경찰서,"15,245"
인천,인천계양경찰서,"8,192"
인천,인천연수경찰서,"7,770"
인천,인천강화경찰서,"1,850"
인천,인천논현경찰서,"1,191"
광주,광주동부경찰서,"5,332"
광주,광주서부경찰서,"12,233"
광주,광주남부경찰서,"5,182"
광주,광주북부경찰서,"13,437"
광주,광주광산경찰서,"12,029"
대전,대전중부경찰서,"8,990"
대전,대전동부경찰서,"8,064"
대전,대전서부경찰서,"6,669"
대전,대전대덕경찰서,"5,902"
대전,대전둔산경찰서,"8,863"
대전,대전유성경찰서,"8,500"
울산,울산중부경찰서,"9,678"
울산,울산남부경찰서,"12,708"
울산,울산동부경찰서,"5,722"
울산,울산울주경찰서,"6,804"
경기남부,경기수원중부경찰서,"14,464"
경기남부,경기수원남부경찰서,"20,222"
경기남부,경기수원서부경찰서,"11,409"
경기남부,경기안양동안경찰서,"8,992"
경기남부,경기안양만안경찰서,"8,311"
경기남부,경기군포경찰서,"7,016"
경기남부,경기성남수정경찰서,"8,905"
경기남부,경기성남중원경찰서,"8,092"
경기남부,경기분당경찰서,"12,701"
경기남부,경기부천소사경찰서,"5,721"
경기남부,경기부천원미경찰서,"19,554"
경기남부,경기부천오정경찰서,"5,989"
경기남부,경기광명경찰서,"9,018"
경기남부,경기안산단원경찰서,"16,747"
경기남부,경기안산상록경찰서,"12,166"
경기남부,경기시흥경찰서,"18,737"
경기남부,경기평택경찰서,"22,626"
경기남부,경기화성동부경찰서,"16,359"
경기남부,경기화성서부경찰서,"11,392"
경기남부,경기용인동부경찰서,"14,856"
경기남부,경기용인서부경찰서,"7,768"
경기남부,경기광주경찰서,"10,347"
경기남부,경기김포경찰서,"10,473"
경기남부,경기과천경찰서,"1,773"
경기남부,경기의왕경찰서,"3,135"
경기남부,경기하남경찰서,"5,385"
경기남부,경기이천경찰서,"7,971"
경기남부,경기안성경찰서,"7,380"
경기남부,경기여주경찰서,"4,404"
경기남부,경기양평경찰서,"3,474"
경기북부,경기의정부경찰서,"14,254"
경기북부,경기고양경찰서,"11,651"
경기북부,경기일산동부경찰서,"10,527"
경기북부,경기일산서부경찰서,"6,348"
경기북부,경기남양주경찰서,"16,895"
경기북부,경기파주경찰서,"13,754"
경기북부,경기양주경찰서,"6,517"
경기북부,경기동두천경찰서,"3,245"
경기북부,경기구리경찰서,"7,020"
경기북부,경기포천경찰서,"6,894"
경기북부,경기가평경찰서,"3,283"
경기북부,경기연천경찰서,"1,291"
강원,강원춘천경찰서,"9,632"
강원,강원강릉경찰서,"6,878"
강원,강원원주경찰서,"13,584"
강원,강원동해경찰서,"2,871"
강원,강원태백경찰서,"1,233"
강원,강원속초경찰서,"4,750"
강원,강원삼척경찰서,"2,601"
강원,강원영월경찰서,928
강원,강원정선경찰서,"1,535"
강원,강원홍천경찰서,"2,682"
강원,강원평창경찰서,"1,449"
강원,강원횡성경찰서,"1,394"
강원,강원고성경찰서,962
강원,강원인제경찰서,764
강원,강원철원경찰서,892
강원,강원화천경찰서,550
강원,강원양구경찰서,466
충북,충북청주흥덕경찰서,"11,546"
충북,충북청주상당경찰서,"7,409"
충북,충북청주청원경찰서,"8,943"
충북,충북충주경찰서,"6,458"
충북,충북제천경찰서,"4,076"
충북,충북영동경찰서,"1,045"
충북,충북괴산경찰서,"1,856"
충북,충북단양경찰서,694
충북,충북보은경찰서,787
충북,충북옥천경찰서,"1,065"
충북,충북음성경찰서,"3,996"
충북,충북진천경찰서,"2,512"
충남,충남천안서북경찰서,"13,949"
충남,충남천안동남경찰서,"8,433"
충남,충남서산경찰서,"6,904"
충남,충남논산경찰서,"4,222"
충남,충남아산경찰서,"8,627"
충남,충남공주경찰서,"3,139"
충남,충남보령경찰서,"3,322"
충남,충남당진경찰서,"4,843"
충남,충남세종경찰서,"4,893"
충남,충남홍성경찰서,"2,545"
충남,충남예산경찰서,"1,862"
충남,충남부여경찰서,"1,441"
