지방청,관서,검거건수(2012년)
서울,서울지방경찰청,"3,435"
서울,서울중부경찰서,"5,336"
서울,서울종로경찰서,"4,162"
서울,서울남대문경찰서,"3,727"
서울,서울서대문경찰서,"7,677"
서울,서울혜화경찰서,"4,499"
서울,서울용산경찰서,"7,520"
서울,서울성북경찰서,"5,293"
서울,서울동대문경찰서,"10,030"
서울,서울마포경찰서,"9,973"
서울,서울영등포경찰서,"13,575"
서울,서울성동경찰서,"7,050"
서울,서울동작경찰서,"7,167"
서울,서울광진경찰서,"10,263"
서울,서울서부경찰서,"4,334"
서울,서울강북경찰서,"8,746"
서울,서울금천경찰서,"8,059"
서울,서울중랑경찰서,"10,578"
서울,서울강남경찰서,"13,444"
서울,서울관악경찰서,"10,692"
서울,서울강서경찰서,"12,374"
서울,서울강동경찰서,"10,814"
서울,서울종암경찰서,"4,180"
서울,서울구로경찰서,"10,023"
서울,서울서초경찰서,"9,352"
서울,서울양천경찰서,"9,362"
서울,서울송파경찰서,"14,201"
서울,서울노원경찰서,"9,598"
서울,서울방배경찰서,"3,611"
서울,서울은평경찰서,"5,867"
서울,서울도봉경찰서,"6,706"
서울,서울수서경찰서,"8,551"
부산,부산지방경찰청,"1,727"
부산,부산중부경찰서,"3,324"
부산,부산동래경찰서,"8,450"
부산,부산영도경찰서,"3,205"
부산,부산동부경찰서,"4,525"
부산,부산진경찰서,"11,767"
부산,부산서부경찰서,"3,609"
부산,부산남부경찰서,"9,394"
부산,부산해운대경찰서,"11,023"
부산,부산사상경찰서,"7,521"
부산,부산금정경찰서,"7,932"
부산,부산사하경찰서,"7,793"
부산,부산연제경찰서,"6,893"
부산,부산강서경찰서,"3,061"
부산,부산북부경찰서,"6,316"
부산,부산기장경찰서,"3,757"
대구,대구지방경찰청,"1,263"
대구,대구중부경찰서,"7,322"
대구,대구동부경찰서,"9,886"
대구,대구서부경찰서,"7,448"
대구,대구남부경찰서,"5,814"
대구,대구북부경찰서,"12,070"
대구,대구수성경찰서,"11,902"
대구,대구달서경찰서,"7,044"
대구,대구성서경찰서,"10,025"
대구,대구달성경찰서,"3,937"
인천,인천지방경찰청,"1,200"
인천,인천중부경찰서,"6,360"
인천,인천남부경찰서,"12,995"
인천,인천남동경찰서,"13,338"
인천,인천부평경찰서,"7,573"
인천,인천삼산경찰서,"6,000"
인천,인천서부경찰서,"10,119"
인천,인천계양경찰서,"7,699"
인천,인천연수경찰서,"6,199"
인천,인천강화경찰서,"1,304"
광주,광주지방경찰청,447
광주,광주동부경찰서,"5,676"
광주,광주서부경찰서,"12,822"
광주,광주남부경찰서,"5,263"
광주,광주북부경찰서,"14,892"
광주,광주광산경찰서,"12,145"
대전,대전지방경찰청,743
대전,대전중부경찰서,"6,452"
대전,대전동부경찰서,"5,492"
대전,대전서부경찰서,"4,340"
대전,대전대덕경찰서,"4,255"
대전,대전둔산경찰서,"9,369"
울산,울산지방경찰청,498
울산,울산중부경찰서,"8,423"
울산,울산남부경찰서,"10,645"
울산,울산동부경찰서,"4,538"
울산,울산울주경찰서,"5,572"
경기,경기지방경찰청,"1,846"
경기,경기수원중부경찰서,"9,736"
경기,경기수원남부경찰서,"12,149"
경기,경기수원서부경찰서,"7,129"
경기,경기안양동안경찰서,"7,197"
경기,경기안양만안경찰서,"6,570"
경기,경기군포경찰서,"5,848"
경기,경기성남수정경찰서,"6,843"
경기,경기성남중원경찰서,"7,669"
경기,경기분당경찰서,"8,018"
경기,경기부천소사경찰서,"4,984"
경기,경기부천원미경찰서,"14,328"
경기,경기부천오정경찰서,"4,388"
경기,경기의정부경찰서,"11,879"
경기,경기고양경찰서,"9,144"
경기,경기일산동부경찰서,"12,336"
경기,경기광명경찰서,"6,202"
경기,경기안산단원경찰서,"10,505"
경기,경기안산상록경찰서,"8,696"
경기,경기시흥경찰서,"13,817"
경기,경기평택경찰서,"13,690"
경기,경기남양주경찰서,"11,650"
경기,경기화성동부경찰서,"9,961"
경기,경기화성서부경찰서,"6,913"
경기,경기용인동부경찰서,"9,670"
경기,경기용인서부경찰서,"5,378"
경기,경기광주경찰서,"6,857"
경기,경기파주경찰서,"8,796"
경기,경기김포경찰서,"7,121"
경기,경기과천경찰서,"1,407"
경기,경기의왕경찰서,"2,592"
경기,경기양주경찰서,"4,816"
경기,경기동두천경찰서,"2,673"
경기,경기구리경찰서,"6,132"
경기,경기하남경찰서,"3,358"
경기,경기이천경찰서,"5,528"
경기,경기포천경찰서,"5,071"
경기,경기안성경찰서,"4,929"
경기,경기여주경찰서,"2,485"
경기,경기양평경찰서,"2,420"
경기,경기가평경찰서,"2,201"
경기,경기연천경찰서,"1,239"
강원,강원지방경찰청,475
강원,강원춘천경찰서,"8,620"
강원,강원강릉경찰서,"6,218"
강원,강원원주경찰서,"12,043"
강원,강원동해경찰서,"2,540"
강원,강원태백경찰서,"1,256"
강원,강원속초경찰서,"3,647"
강원,강원삼척경찰서,"1,783"
강원,강원영월경찰서,894
강원,강원정선경찰서,"1,568"
강원,강원홍천경찰서,"1,952"
강원,강원평창경찰서,"1,235"
강원,강원횡성경찰서,979
강원,강원고성경찰서,774
강원,강원인제경찰서,631
강원,강원철원경찰서,894
강원,강원화천경찰서,398
강원,강원양구경찰서,390
충북,충북지방경찰청,457
충북,충북청주흥덕경찰서,"8,942"
충북,충북청주상당경찰서,"4,552"
충북,충북청주청원경찰서,"5,738"
충북,충북충주경찰서,"5,416"
충북,충북제천경찰서,"3,734"
충북,충북영동경찰서,933
충북,충북괴산경찰서,"1,319"
충북,충북단양경찰서,666
충북,충북보은경찰서,615
충북,충북옥천경찰서,"1,043"
충북,충북음성경찰서,"2,915"
충북,충북진천경찰서,"1,748"
충남,충남지방경찰청,381
충남,충남천안서북경찰서,"8,488"
충남,충남천안동남경찰서,"6,491"
충남,충남서산경찰서,"4,929"
충남,충남논산경찰서,"3,027"
