지방청,관서,검거건수(2011년)
서울,서울지방경찰청,"3,737"
서울,서울중부경찰서,"6,946"
서울,서울종로경찰서,"4,626"
서울,서울남대문경찰서,"3,904"
서울,서울서대문경찰서,"7,448"
서울,서울혜화경찰서,"5,045"
서울,서울용산경찰서,"7,338"
서울,서울성북경찰서,"5,346"
서울,서울동대문경찰서,"10,354"
서울,서울마포경찰서,"10,437"
서울,서울영등포경찰서,"13,362"
서울,서울성동경찰서,"7,477"
서울,서울동작경찰서,"7,575"
서울,서울광진경찰서,"9,409"
서울,서울서부경찰서,"4,748"
서울,서울강북경찰서,"8,589"
서울,서울금천경찰서,"8,161"
서울,서울중랑경찰서,"12,698"
서울,서울강남경찰서,"14,581"
서울,서울관악경찰서,"11,140"
서울,서울강서경찰서,"13,055"
서울,서울강동경찰서,"10,908"
서울,서울종암경찰서,"4,157"
서울,서울구로경찰서,"11,940"
서울,서울서초경찰서,"10,016"
서울,서울양천경찰서,"10,340"
서울,서울송파경찰서,"14,935"
서울,서울노원경찰서,"10,166"
서울,서울방배경찰서,"3,680"
서울,서울은평경찰서,"5,982"
서울,서울도봉경찰서,"6,127"
서울,서울수서경찰서,"8,862"
부산,부산지방경찰청,"1,333"
부산,부산중부경찰서,"3,758"
부산,부산동래경찰서,"8,386"
부산,부산영도경찰서,"3,107"
부산,부산동부경찰서,"4,585"
부산,부산진경찰서,"11,616"
부산,부산서부경찰서,"3,966"
부산,부산남부경찰서,"9,635"
부산,부산해운대경찰서,"11,120"
부산,부산사상경찰서,"6,741"
부산,부산금정경찰서,"6,698"
부산,부산사하경찰서,"7,517"
부산,부산연제경찰서,"7,340"
부산,부산강서경찰서,"3,054"
부산,부산북부경찰서,"6,491"
부산,부산기장경찰서,"3,481"
대구,대구지방경찰청,747
대구,대구중부경찰서,"6,005"
대구,대구동부경찰서,"11,037"
대구,대구서부경찰서,"8,255"
대구,대구남부경찰서,"5,811"
대구,대구북부경찰서,"12,959"
대구,대구수성경찰서,"12,822"
대구,대구달서경찰서,"7,397"
대구,대구성서경찰서,"9,548"
대구,대구달성경찰서,"3,989"
인천,인천지방경찰청,992
인천,인천중부경찰서,"6,277"
인천,인천남부경찰서,"12,911"
인천,인천남동경찰서,"14,295"
인천,인천부평경찰서,"6,588"
인천,인천삼산경찰서,"6,632"
인천,인천서부경찰서,"9,389"
인천,인천계양경찰서,"8,151"
인천,인천연수경찰서,"6,155"
인천,인천강화경찰서,"1,174"
광주,광주지방경찰청,364
광주,광주동부경찰서,"5,744"
광주,광주서부경찰서,"11,450"
광주,광주남부경찰서,"5,747"
광주,광주북부경찰서,"13,617"
광주,광주광산경찰서,"10,776"
대전,대전지방경찰청,645
대전,대전중부경찰서,"7,469"
대전,대전동부경찰서,"5,824"
대전,대전서부경찰서,"5,419"
대전,대전대덕경찰서,"5,292"
대전,대전둔산경찰서,"9,391"
울산,울산지방경찰청,316
울산,울산중부경찰서,"9,517"
울산,울산남부경찰서,"10,912"
울산,울산동부경찰서,"4,079"
울산,울산울주경찰서,"5,189"
경기,경기지방경찰청,"2,118"
경기,경기수원중부경찰서,"9,776"
경기,경기수원남부경찰서,"11,620"
경기,경기수원서부경찰서,"6,971"
경기,경기안양동안경찰서,"7,270"
경기,경기안양만안경찰서,"6,455"
경기,경기군포경찰서,"5,748"
경기,경기성남수정경찰서,"7,122"
경기,경기성남중원경찰서,"7,390"
경기,경기분당경찰서,"7,866"
경기,경기부천소사경찰서,"4,806"
경기,경기부천원미경찰서,"13,188"
경기,경기부천오정경찰서,"4,072"
경기,경기의정부경찰서,"12,088"
경기,경기고양경찰서,"9,405"
경기,경기일산경찰서,"11,407"
경기,경기광명경찰서,"6,157"
경기,경기안산단원경찰서,"10,266"
경기,경기안산상록경찰서,"8,377"
경기,경기시흥경찰서,"12,750"
경기,경기평택경찰서,"15,140"
경기,경기남양주경찰서,"11,485"
경기,경기화성동부경찰서,"8,870"
경기,경기화성서부경찰서,"7,968"
경기,경기용인동부경찰서,"9,267"
경기,경기용인서부경찰서,"5,757"
경기,경기광주경찰서,"6,146"
경기,경기파주경찰서,"9,221"
경기,경기김포경찰서,"6,901"
경기,경기과천경찰서,"1,684"
경기,경기의왕경찰서,"2,581"
경기,경기양주경찰서,"4,750"
경기,경기동두천경찰서,"2,372"
경기,경기구리경찰서,"5,777"
경기,경기하남경찰서,"3,143"
경기,경기이천경찰서,"5,328"
경기,경기포천경찰서,"4,797"
경기,경기안성경찰서,"4,749"
경기,경기여주경찰서,"2,762"
경기,경기양평경찰서,"2,679"
경기,경기가평경찰서,"1,823"
경기,경기연천경찰서,"1,147"
강원,강원지방경찰청,782
강원,강원춘천경찰서,"8,010"
강원,강원강릉경찰서,"6,397"
강원,강원원주경찰서,"10,479"
강원,강원동해경찰서,"2,632"
강원,강원태백경찰서,"1,182"
강원,강원속초경찰서,"3,607"
강원,강원삼척경찰서,"1,812"
강원,강원영월경찰서,850
강원,강원정선경찰서,"1,392"
강원,강원홍천경찰서,"1,871"
강원,강원평창경찰서,"1,233"
강원,강원횡성경찰서,"1,303"
강원,강원고성경찰서,676
강원,강원인제경찰서,666
강원,강원철원경찰서,836
강원,강원화천경찰서,444
강원,강원양구경찰서,389
충북,충북지방경찰청,484
충북,충북청주흥덕경찰서,"9,474"
충북,충북청주상당경찰서,"2,961"
충북,충북청주청원경찰서,"6,080"
충북,충북충주경찰서,"5,280"
충북,충북제천경찰서,"3,428"
충북,충북영동경찰서,922
충북,충북괴산경찰서,"1,256"
충북,충북단양경찰서,669
충북,충북보은경찰서,704
충북,충북옥천경찰서,"1,028"
충북,충북음성경찰서,"2,539"
충북,충북진천경찰서,"1,410"
충남,충남지방경찰청,385
충남,충남천안서북경찰서,"8,512"
충남,충남천안동남경찰서,"6,124"
충남,충남서산경찰서,"4,791"
충남,충남논산경찰서,"3,520"
충남,충남아산경찰서,"4,904"
충남,충남공주경찰서,"2,464"
충남,충남보령경찰서,"2,861"
충남,충남당진경찰서,"3,291"
충남,충남세종경찰서,"1,594"
충남,충남홍성경찰서,"1,867"
충남,충남예산경찰서,"1,785"
충남,충남부여경찰서,"1,169"
충남,충남서천경찰서,"1,582"
충남,충남금산경찰서,"1,182"
충남,충남청양경찰서,537
전북,전북지방경찰청,409
전북,전북전주완산경찰서,"8,575"
전북,전북전주덕진경찰서,"7,749"
전북,전북군산경찰서,"8,276"
전북,전북익산경찰서,"9,249"
전북,전북정읍경찰서,"2,878"
전북,전북남원경찰서,"2,058"
전북,전북김제경찰서,"2,025"
전북,전북완주경찰서,"1,761"
전북,전북고창경찰서,"1,198"
전북,전북부안경찰서,"1,396"
전북,전북임실경찰서,508
전북,전북순창경찰서,526
전북,전북진안경찰서,392
전북,전북장수경찰서,400
전북,전북무주경찰서,521
전남,전남지방경찰청,264
전남,전남목포경찰서,"8,773"
전남,전남여수경찰서,"8,229"
전남,전남순천경찰서,"8,741"
전남,전남나주경찰서,"2,800"
전남,전남광양경찰서,"3,691"
전남,전남고흥경찰서,"1,306"
전남,전남해남경찰서,"1,759"
전남,전남무안경찰서,"1,444"
전남,전남장흥경찰서,"1,030"
전남,전남보성경찰서,898
전남,전남영광경찰서,"1,176"
전남,전남화순경찰서,"1,545"
전남,전남함평경찰서,943
전남,전남영암경찰서,"1,754"
전남,전남장성경찰서,"1,010"
전남,전남강진경찰서,987
전남,전남담양경찰서,"1,248"
전남,전남곡성경찰서,"1,022"
전남,전남완도경찰서,"1,102"
전남,전남진도경찰서,786
전남,전남구례경찰서,702
경북,경북지방경찰청,392
경북,경북경주경찰서,"7,340"
경북,경북포항북부경찰서,"7,389"
경북,경북포항남부경찰서,"6,477"
경북,경북구미경찰서,"13,011"
경북,경북경산경찰서,"6,015"
경북,경북안동경찰서,"4,410"
경북,경북김천경찰서,"3,340"
경북,경북영주경찰서,"2,932"
경북,경북영천경찰서,"3,356"
경북,경북상주경찰서,"2,238"
경북,경북문경경찰서,"1,880"
경북,경북칠곡경찰서,"3,089"
경북,경북의성경찰서,915
경북,경북청도경찰서,870
경북,경북영덕경찰서,838
경북,경북울진경찰서,950
경북,경북봉화경찰서,700
경북,경북예천경찰서,855
경북,경북성주경찰서,"1,437"
경북,경북청송경찰서,562
경북,경북영양경찰서,229
경북,경북군위경찰서,424
경북,경북고령경찰서,883
경북,경북울릉경찰서,121
경남,경남지방경찰청,658
경남,경남창원중부경찰서,"9,389"
경남,경남창원서부경찰서,"5,915"
경남,경남마산중부경찰서,"5,472"
경남,경남마산동부경찰서,"7,107"
경남,경남진주경찰서,"10,498"
경남,경남김해중부경찰서,"9,784"
경남,경남김해서부경찰서,"6,808"
경남,경남거제경찰서,"7,270"
경남,경남양산경찰서,"6,554"
경남,경남진해경찰서,"4,467"
경남,경남통영경찰서,"4,764"
경남,경남사천경찰서,"3,767"
경남,경남밀양경찰서,"2,780"
경남,경남거창경찰서,"1,287"
경남,경남합천경찰서,950
경남,경남창녕경찰서,"1,540"
경남,경남고성경찰서,"1,517"
경남,경남하동경찰서,"1,195"
경남,경남남해경찰서,"1,172"
경남,경남함양경찰서,985
경남,경남산청경찰서,783
경남,경남함안경찰서,"1,786"
경남,경남의령경찰서,718
제주,제주지방경찰청,176
제주,제주동부경찰서,"6,606"
제주,제주서부경찰서,"6,846"
제주,제주서귀포경찰서,"4,278"
