지방청,관서,발생건수(2016년)
서울,서울중부경찰서,"7,555"
서울,서울종로경찰서,"6,923"
서울,서울남대문경찰서,"6,011"
서울,서울서대문경찰서,"9,524"
서울,서울혜화경찰서,"6,440"
서울,서울용산경찰서,"11,670"
서울,서울성북경찰서,"5,959"
서울,서울동대문경찰서,"12,699"
서울,서울마포경찰서,"15,478"
서울,서울영등포경찰서,"19,311"
서울,서울성동경찰서,"8,550"
서울,서울동작경찰서,"9,296"
서울,서울광진경찰서,"13,080"
서울,서울서부경찰서,"4,527"
서울,서울강북경찰서,"10,266"
서울,서울금천경찰서,"11,600"
서울,서울중랑경찰서,"12,624"
서울,서울강남경찰서,"20,917"
서울,서울관악경찰서,"15,809"
서울,서울강서경찰서,"16,160"
서울,서울강동경찰서,"11,821"
서울,서울종암경찰서,"4,875"
서울,서울구로경찰서,"14,613"
서울,서울서초경찰서,"15,504"
서울,서울양천경찰서,"10,900"
서울,서울송파경찰서,"18,948"
서울,서울노원경찰서,"11,814"
서울,서울방배경찰서,"4,486"
서울,서울은평경찰서,"6,573"
서울,서울도봉경찰서,"7,041"
서울,서울수서경찰서,"12,130"
부산,부산중부경찰서,"4,873"
부산,부산동래경찰서,"9,399"
부산,부산영도경찰서,"3,770"
부산,부산동부경찰서,"5,429"
부산,부산진경찰서,"18,606"
부산,부산서부경찰서,"4,354"
부산,부산남부경찰서,"15,397"
부산,부산해운대경찰서,"13,630"
부산,부산사상경찰서,"9,139"
부산,부산금정경찰서,"8,209"
부산,부산사하경찰서,"10,040"
부산,부산연제경찰서,"10,113"
부산,부산강서경찰서,"4,140"
부산,부산북부경찰서,"7,688"
부산,부산기장경찰서,"4,424"
대구,대구중부경찰서,"6,970"
대구,대구동부경찰서,"12,045"
대구,대구서부경찰서,"8,477"
대구,대구남부경찰서,"7,144"
대구,대구북부경찰서,"8,395"
대구,대구수성경찰서,"11,793"
대구,대구달서경찰서,"8,449"
대구,대구성서경찰서,"10,958"
대구,대구달성경찰서,"4,847"
대구,대구강북경찰서,"7,072"
인천,인천중부경찰서,"8,553"
인천,인천남부경찰서,"17,563"
인천,인천남동경찰서,"18,772"
인천,인천부평경찰서,"9,349"
인천,인천삼산경찰서,"9,198"
인천,인천서부경찰서,"16,658"
인천,인천계양경찰서,"8,788"
인천,인천연수경찰서,"9,445"
인천,인천강화경찰서,"2,061"
광주,광주동부경찰서,"5,976"
광주,광주서부경찰서,"13,717"
광주,광주남부경찰서,"5,810"
광주,광주북부경찰서,"15,173"
광주,광주광산경찰서,"13,595"
대전,대전중부경찰서,"9,949"
대전,대전동부경찰서,"8,346"
대전,대전서부경찰서,"6,499"
대전,대전대덕경찰서,"5,684"
대전,대전둔산경찰서,"9,316"
대전,대전유성경찰서,"9,244"
울산,울산중부경찰서,"11,918"
울산,울산남부경찰서,"14,264"
울산,울산동부경찰서,"6,195"
울산,울산울주경찰서,"7,422"
경기남부,경기수원중부경찰서,"17,181"
경기남부,경기수원남부경찰서,"21,876"
경기남부,경기수원서부경찰서,"11,657"
경기남부,경기안양동안경찰서,"10,415"
경기남부,경기안양만안경찰서,"9,383"
경기남부,경기군포경찰서,"8,255"
경기남부,경기성남수정경찰서,"11,678"
경기남부,경기성남중원경찰서,"10,746"
경기남부,경기분당경찰서,"15,293"
경기남부,경기부천소사경찰서,"7,396"
