지방청,관서,발생건수(2013년)
서울,서울지방경찰청,40
서울,서울중부경찰서,"8,013"
서울,서울종로경찰서,"6,782"
서울,서울남대문경찰서,"6,021"
서울,서울서대문경찰서,"10,315"
서울,서울혜화경찰서,"6,183"
서울,서울용산경찰서,"11,483"
서울,서울성북경찰서,"7,189"
서울,서울동대문경찰서,"13,168"
서울,서울마포경찰서,"14,216"
서울,서울영등포경찰서,"20,317"
서울,서울성동경찰서,"9,996"
서울,서울동작경찰서,"11,315"
서울,서울광진경찰서,"14,723"
서울,서울서부경찰서,"5,760"
서울,서울강북경찰서,"11,033"
서울,서울금천경찰서,"11,998"
서울,서울중랑경찰서,"12,683"
서울,서울강남경찰서,"21,464"
서울,서울관악경찰서,"17,221"
서울,서울강서경찰서,"16,784"
서울,서울강동경찰서,"14,013"
서울,서울종암경찰서,"5,838"
서울,서울구로경찰서,"15,521"
서울,서울서초경찰서,"16,166"
서울,서울양천경찰서,"13,670"
서울,서울송파경찰서,"18,384"
서울,서울노원경찰서,"13,379"
서울,서울방배경찰서,"5,094"
서울,서울은평경찰서,"8,164"
서울,서울도봉경찰서,"8,290"
서울,서울수서경찰서,"13,360"
부산,부산지방경찰청,112
부산,부산중부경찰서,"4,484"
부산,부산동래경찰서,"11,405"
부산,부산영도경찰서,"3,447"
부산,부산동부경찰서,"6,123"
부산,부산진경찰서,"17,803"
부산,부산서부경찰서,"4,632"
부산,부산남부경찰서,"14,230"
부산,부산해운대경찰서,"13,661"
부산,부산사상경찰서,"11,185"
부산,부산금정경찰서,"10,056"
부산,부산사하경찰서,"10,144"
부산,부산연제경찰서,"9,853"
부산,부산강서경찰서,"3,918"
부산,부산북부경찰서,"7,923"
부산,부산기장경찰서,"4,653"
대구,대구지방경찰청,4
대구,대구중부경찰서,"8,486"
대구,대구동부경찰서,"13,251"
대구,대구서부경찰서,"10,389"
대구,대구남부경찰서,"7,829"
대구,대구북부경찰서,"10,139"
대구,대구수성경찰서,"14,014"
대구,대구달서경찰서,"8,959"
대구,대구성서경찰서,"13,435"
대구,대구달성경찰서,"4,910"
대구,대구강북경찰서,"4,770"
인천,인천중부경찰서,"8,489"
인천,인천남부경찰서,"18,452"
인천,인천남동경찰서,"17,862"
인천,인천부평경찰서,"9,663"
인천,인천삼산경찰서,"7,653"
인천,인천서부경찰서,"13,359"
인천,인천계양경찰서,"10,254"
인천,인천연수경찰서,"7,996"
인천,인천강화경찰서,"1,542"
광주,광주지방경찰청,16
광주,광주동부경찰서,"7,125"
광주,광주서부경찰서,"17,607"
광주,광주남부경찰서,"8,111"
광주,광주북부경찰서,"18,328"
광주,광주광산경찰서,"16,782"
대전,대전지방경찰청,1
대전,대전중부경찰서,"9,292"
대전,대전동부경찰서,"8,413"
대전,대전서부경찰서,"6,941"
대전,대전대덕경찰서,"6,371"
대전,대전둔산경찰서,"17,466"
울산,울산지방경찰청,3
울산,울산중부경찰서,"11,741"
울산,울산남부경찰서,"14,470"
울산,울산동부경찰서,"6,841"
울산,울산울주경찰서,"7,793"
경기,경기지방경찰청,19
경기,경기수원중부경찰서,"12,837"
경기,경기수원남부경찰서,"16,965"
경기,경기수원서부경찰서,"9,555"
경기,경기안양동안경찰서,"9,540"
경기,경기안양만안경찰서,"9,308"
경기,경기군포경찰서,"7,532"
경기,경기성남수정경찰서,"9,351"
경기,경기성남중원경찰서,"10,495"
경기,경기분당경찰서,"11,832"
경기,경기부천소사경찰서,"7,632"
경기,경기부천원미경찰서,"21,492"
경기,경기부천오정경찰서,"6,667"
경기,경기의정부경찰서,"15,159"
경기,경기고양경찰서,"13,219"
경기,경기일산경찰서,"17,833"
경기,경기광명경찰서,"9,176"
경기,경기안산단원경찰서,"15,258"
경기,경기안산상록경찰서,"11,270"
경기,경기시흥경찰서,"17,986"
경기,경기평택경찰서,"17,941"
경기,경기남양주경찰서,"14,459"
경기,경기화성동부경찰서,"14,713"
경기,경기화성서부경찰서,"9,315"
경기,경기용인동부경찰서,"12,629"
경기,경기용인서부경찰서,"7,653"
경기,경기광주경찰서,"9,653"
경기,경기파주경찰서,"13,117"
경기,경기김포경찰서,"9,426"
경기,경기과천경찰서,"1,607"
경기,경기의왕경찰서,"3,472"
경기,경기양주경찰서,"6,615"
경기,경기동두천경찰서,"3,884"
경기,경기구리경찰서,"7,442"
경기,경기하남경찰서,"4,786"
경기,경기이천경찰서,"7,319"
경기,경기포천경찰서,"6,780"
경기,경기안성경찰서,"6,546"
경기,경기여주경찰서,"3,774"
경기,경기양평경찰서,"3,589"
경기,경기가평경찰서,"2,743"
경기,경기연천경찰서,"1,374"
강원,강원지방경찰청,2
강원,강원춘천경찰서,"12,099"
강원,강원강릉경찰서,"7,652"
강원,강원원주경찰서,"14,299"
강원,강원동해경찰서,"3,243"
강원,강원태백경찰서,"1,449"
강원,강원속초경찰서,"4,865"
강원,강원삼척경찰서,"2,448"
강원,강원영월경찰서,"1,138"
강원,강원정선경찰서,"1,874"
강원,강원홍천경찰서,"2,546"
강원,강원평창경찰서,"1,611"
강원,강원횡성경찰서,"1,366"
강원,강원고성경찰서,947
강원,강원인제경찰서,825
강원,강원철원경찰서,"1,128"
강원,강원화천경찰서,527
강원,강원양구경찰서,514
충북,충북지방경찰청,3
충북,충북청주흥덕경찰서,"12,402"
충북,충북청주상당경찰서,"6,225"
충북,충북청주청원경찰서,"8,095"
충북,충북충주경찰서,"7,761"
충북,충북제천경찰서,"4,862"
충북,충북영동경찰서,"1,091"
충북,충북괴산경찰서,"1,980"
충북,충북단양경찰서,851
충북,충북보은경찰서,763
충북,충북옥천경찰서,"1,443"
충북,충북음성경찰서,"4,101"
충북,충북진천경찰서,"2,488"
충남,충남지방경찰청,5
충남,충남천안서북경찰서,"13,270"
충남,충남천안동남경찰서,"10,246"
충남,충남서산경찰서,"6,911"
충남,충남논산경찰서,"4,573"
충남,충남아산경찰서,"8,080"
충남,충남공주경찰서,"3,633"
충남,충남보령경찰서,"4,052"
충남,충남당진경찰서,"5,340"
충남,충남세종경찰서,"3,538"
충남,충남홍성경찰서,"3,037"
충남,충남예산경찰서,"2,307"
충남,충남부여경찰서,"1,763"
충남,충남서천경찰서,"1,529"
충남,충남금산경찰서,"1,530"
충남,충남청양경찰서,759
전북,전북지방경찰청,18
전북,전북전주완산경찰서,"11,283"
전북,전북전주덕진경찰서,"10,767"
전북,전북군산경찰서,"10,047"
전북,전북익산경찰서,"10,878"
전북,전북정읍경찰서,"3,240"
전북,전북남원경찰서,"2,597"
전북,전북김제경찰서,"2,747"
전북,전북완주경찰서,"2,343"
전북,전북고창경찰서,"1,537"
전북,전북부안경찰서,"1,745"
전북,전북임실경찰서,566
전북,전북순창경찰서,547
전북,전북진안경찰서,478
전북,전북장수경찰서,385
전북,전북무주경찰서,728
전남,전남지방경찰청,161
전남,전남목포경찰서,"13,396"
전남,전남여수경찰서,"10,371"
전남,전남순천경찰서,"10,275"
전남,전남나주경찰서,"3,480"
전남,전남광양경찰서,"5,365"
전남,전남고흥경찰서,"1,703"
전남,전남해남경찰서,"2,214"
전남,전남무안경찰서,"2,214"
전남,전남장흥경찰서,"1,423"
전남,전남보성경찰서,"1,237"
전남,전남영광경찰서,"1,463"
전남,전남화순경찰서,"1,796"
전남,전남함평경찰서,939
전남,전남영암경찰서,"2,317"
전남,전남장성경찰서,"1,222"
전남,전남강진경찰서,"1,097"
전남,전남담양경찰서,"1,405"
전남,전남곡성경찰서,769
전남,전남완도경찰서,"1,383"
전남,전남진도경찰서,914
전남,전남구례경찰서,744
경북,경북지방경찰청,5
경북,경북경주경찰서,"11,455"
경북,경북포항북부경찰서,"9,410"
경북,경북포항남부경찰서,"10,492"
경북,경북구미경찰서,"19,632"
경북,경북경산경찰서,"9,046"
경북,경북안동경찰서,"5,934"
경북,경북김천경찰서,"4,559"
경북,경북영주경찰서,"3,053"
경북,경북영천경찰서,"3,860"
경북,경북상주경찰서,"3,023"
경북,경북문경경찰서,"2,185"
경북,경북칠곡경찰서,"4,334"
경북,경북의성경찰서,"1,107"
경북,경북청도경찰서,"1,195"
경북,경북영덕경찰서,"1,246"
경북,경북울진경찰서,"1,448"
경북,경북봉화경찰서,740
경북,경북예천경찰서,806
경북,경북성주경찰서,"1,546"
경북,경북청송경찰서,701
경북,경북영양경찰서,390
경북,경북군위경찰서,617
경북,경북고령경찰서,"1,184"
경북,경북울릉경찰서,194
경남,경남지방경찰청,13
경남,경남창원중부경찰서,"9,100"
경남,경남창원서부경찰서,"7,461"
경남,경남마산중부경찰서,"6,431"
경남,경남마산동부경찰서,"8,233"
경남,경남진주경찰서,"12,476"
경남,경남김해중부경찰서,"13,267"
경남,경남김해서부경찰서,"7,179"
경남,경남거제경찰서,"10,034"
경남,경남양산경찰서,"10,374"
경남,경남진해경찰서,"5,230"
경남,경남통영경찰서,"5,787"
경남,경남사천경찰서,"3,767"
경남,경남밀양경찰서,"3,340"
경남,경남거창경찰서,"1,718"
경남,경남합천경찰서,"1,059"
경남,경남창녕경찰서,"1,884"
경남,경남고성경찰서,"1,796"
경남,경남하동경찰서,"1,260"
경남,경남남해경찰서,"1,291"
경남,경남함양경찰서,"1,009"
경남,경남산청경찰서,964
경남,경남함안경찰서,"2,165"
경남,경남의령경찰서,771
제주,제주지방경찰청,51
제주,제주동부경찰서,"13,075"
제주,제주서부경찰서,"10,480"
제주,제주서귀포경찰서,"7,617"
