지방청,관서,발생건수(2012년)
서울,서울지방경찰청,49
서울,서울중부경찰서,"7,814"
서울,서울종로경찰서,"6,285"
서울,서울남대문경찰서,"6,284"
서울,서울서대문경찰서,"10,545"
서울,서울혜화경찰서,"6,306"
서울,서울용산경찰서,"9,746"
서울,서울성북경찰서,"6,589"
서울,서울동대문경찰서,"13,852"
서울,서울마포경찰서,"14,061"
서울,서울영등포경찰서,"19,455"
서울,서울성동경찰서,"9,381"
서울,서울동작경찰서,"10,403"
서울,서울광진경찰서,"14,111"
서울,서울서부경찰서,"5,765"
서울,서울강북경찰서,"10,921"
서울,서울금천경찰서,"10,740"
서울,서울중랑경찰서,"13,379"
서울,서울강남경찰서,"21,316"
서울,서울관악경찰서,"15,626"
서울,서울강서경찰서,"16,837"
서울,서울강동경찰서,"13,675"
서울,서울종암경찰서,"5,616"
서울,서울구로경찰서,"15,258"
서울,서울서초경찰서,"15,004"
서울,서울양천경찰서,"12,928"
서울,서울송파경찰서,"19,360"
서울,서울노원경찰서,"12,635"
서울,서울방배경찰서,"4,885"
서울,서울은평경찰서,"7,791"
서울,서울도봉경찰서,"8,848"
서울,서울수서경찰서,"13,069"
부산,부산지방경찰청,70
부산,부산중부경찰서,"4,863"
부산,부산동래경찰서,"10,680"
부산,부산영도경찰서,"3,716"
부산,부산동부경찰서,"5,902"
부산,부산진경찰서,"17,855"
부산,부산서부경찰서,"4,449"
부산,부산남부경찰서,"12,561"
부산,부산해운대경찰서,"15,106"
부산,부산사상경찰서,"9,938"
부산,부산금정경찰서,"9,954"
부산,부산사하경찰서,"10,364"
부산,부산연제경찰서,"9,379"
부산,부산강서경찰서,"4,150"
부산,부산북부경찰서,"7,919"
부산,부산기장경찰서,"4,574"
대구,대구지방경찰청,1
대구,대구중부경찰서,"8,938"
대구,대구동부경찰서,"13,183"
대구,대구서부경찰서,"9,554"
대구,대구남부경찰서,"7,694"
대구,대구북부경찰서,"15,861"
대구,대구수성경찰서,"15,289"
대구,대구달서경찰서,"8,882"
대구,대구성서경찰서,"13,571"
대구,대구달성경찰서,"4,948"
인천,인천지방경찰청,1
인천,인천중부경찰서,"8,178"
인천,인천남부경찰서,"16,984"
인천,인천남동경찰서,"16,206"
인천,인천부평경찰서,"9,682"
인천,인천삼산경찰서,"7,785"
인천,인천서부경찰서,"12,809"
인천,인천계양경찰서,"9,393"
인천,인천연수경찰서,"7,237"
인천,인천강화경찰서,"1,636"
광주,광주지방경찰청,7
광주,광주동부경찰서,"7,567"
광주,광주서부경찰서,"16,849"
광주,광주남부경찰서,"7,089"
광주,광주북부경찰서,"19,615"
광주,광주광산경찰서,"16,145"
대전,대전지방경찰청,1
대전,대전중부경찰서,"9,465"
대전,대전동부경찰서,"8,468"
대전,대전서부경찰서,"5,920"
대전,대전대덕경찰서,"5,983"
대전,대전둔산경찰서,"15,326"
울산,울산지방경찰청,3
울산,울산중부경찰서,"10,621"
울산,울산남부경찰서,"13,479"
울산,울산동부경찰서,"5,977"
울산,울산울주경찰서,"7,282"
경기,경기지방경찰청,33
경기,경기수원중부경찰서,"12,638"
경기,경기수원남부경찰서,"16,123"
경기,경기수원서부경찰서,"9,471"
경기,경기안양동안경찰서,"8,912"
경기,경기안양만안경찰서,"8,719"
경기,경기군포경찰서,"7,603"
경기,경기성남수정경찰서,"9,340"
경기,경기성남중원경찰서,"9,961"
