지방청,관서,검거건수(2015년)
서울,서울지방경찰청,"6,069"
서울,서울중부경찰서,"5,417"
서울,서울종로경찰서,"4,372"
서울,서울남대문경찰서,"3,956"
서울,서울서대문경찰서,"7,665"
서울,서울혜화경찰서,"4,437"
서울,서울용산경찰서,"8,362"
서울,서울성북경찰서,"5,063"
서울,서울동대문경찰서,"10,156"
서울,서울마포경찰서,"11,006"
서울,서울영등포경찰서,"14,290"
서울,서울성동경찰서,"7,105"
서울,서울동작경찰서,"7,556"
서울,서울광진경찰서,"10,060"
서울,서울서부경찰서,"3,847"
서울,서울강북경찰서,"8,689"
서울,서울금천경찰서,"7,722"
서울,서울중랑경찰서,"9,717"
서울,서울강남경찰서,"14,407"
서울,서울관악경찰서,"11,152"
서울,서울강서경찰서,"12,821"
서울,서울강동경찰서,"9,469"
서울,서울종암경찰서,"3,881"
서울,서울구로경찰서,"10,569"
서울,서울서초경찰서,"10,874"
서울,서울양천경찰서,"9,059"
서울,서울송파경찰서,"14,777"
서울,서울노원경찰서,"9,409"
서울,서울방배경찰서,"3,547"
서울,서울은평경찰서,"5,234"
서울,서울도봉경찰서,"5,899"
서울,서울수서경찰서,"9,201"
부산,부산지방경찰청,"2,195"
부산,부산중부경찰서,"3,668"
부산,부산동래경찰서,"8,560"
부산,부산영도경찰서,"3,538"
부산,부산동부경찰서,"4,653"
부산,부산진경찰서,"13,617"
부산,부산서부경찰서,"3,812"
부산,부산남부경찰서,"11,909"
부산,부산해운대경찰서,"10,235"
부산,부산사상경찰서,"8,147"
부산,부산금정경찰서,"7,694"
부산,부산사하경찰서,"8,054"
부산,부산연제경찰서,"8,166"
부산,부산강서경찰서,"3,569"
부산,부산북부경찰서,"7,027"
부산,부산기장경찰서,"3,879"
대구,대구지방경찰청,"1,235"
대구,대구중부경찰서,"6,603"
대구,대구동부경찰서,"10,540"
대구,대구서부경찰서,"8,328"
대구,대구남부경찰서,"6,131"
대구,대구북부경찰서,"6,865"
대구,대구수성경찰서,"11,274"
대구,대구달서경찰서,"7,887"
대구,대구성서경찰서,"10,045"
대구,대구달성경찰서,"4,430"
대구,대구강북경찰서,"6,703"
인천,인천지방경찰청,"1,873"
인천,인천중부경찰서,"7,009"
인천,인천남부경찰서,"13,982"
인천,인천남동경찰서,"14,959"
인천,인천부평경찰서,"8,014"
인천,인천삼산경찰서,"7,268"
인천,인천서부경찰서,"12,647"
인천,인천계양경찰서,"7,395"
인천,인천연수경찰서,"7,009"
인천,인천강화경찰서,"1,560"
광주,광주지방경찰청,600
광주,광주동부경찰서,"5,217"
광주,광주서부경찰서,"12,921"
광주,광주남부경찰서,"5,699"
광주,광주북부경찰서,"14,265"
광주,광주광산경찰서,"11,984"
대전,대전지방경찰청,701
대전,대전중부경찰서,"8,530"
대전,대전동부경찰서,"7,051"
대전,대전서부경찰서,"5,631"
대전,대전대덕경찰서,"4,941"
대전,대전둔산경찰서,"11,530"
대전,대전유성경찰서,"1,556"
울산,울산지방경찰청,645
울산,울산중부경찰서,"10,776"
울산,울산남부경찰서,"12,811"
울산,울산동부경찰서,"5,783"
울산,울산울주경찰서,"7,431"
경기,경기지방경찰청,"2,700"
경기,경기수원중부경찰서,"12,847"
경기,경기수원남부경찰서,"16,093"
경기,경기수원서부경찰서,"8,795"
경기,경기안양동안경찰서,"8,339"
경기,경기안양만안경찰서,"6,722"
경기,경기군포경찰서,"6,077"
경기,경기성남수정경찰서,"7,396"
경기,경기성남중원경찰서,"7,959"
경기,경기분당경찰서,"9,645"
경기,경기부천소사경찰서,"5,288"
경기,경기부천원미경찰서,"16,575"
경기,경기부천오정경찰서,"5,302"
경기,경기의정부경찰서,"12,633"
경기,경기고양경찰서,"10,574"
경기,경기일산경찰서,"14,412"
경기,경기광명경찰서,"8,004"
경기,경기안산단원경찰서,"14,560"
경기,경기안산상록경찰서,"11,711"
경기,경기시흥경찰서,"16,106"
경기,경기평택경찰서,"16,979"
경기,경기남양주경찰서,"14,426"
경기,경기화성동부경찰서,"12,083"
경기,경기화성서부경찰서,"8,414"
경기,경기용인동부경찰서,"12,126"
경기,경기용인서부경찰서,"6,445"
경기,경기광주경찰서,"8,549"
