지방청,관서,검거건수(2016년)
서울,서울지방경찰청,"6,711"
서울,서울중부경찰서,"5,387"
서울,서울종로경찰서,"4,435"
서울,서울남대문경찰서,"3,950"
서울,서울서대문경찰서,"7,410"
서울,서울혜화경찰서,"4,932"
서울,서울용산경찰서,"8,811"
서울,서울성북경찰서,"5,043"
서울,서울동대문경찰서,"10,284"
서울,서울마포경찰서,"11,287"
서울,서울영등포경찰서,"13,755"
서울,서울성동경찰서,"7,164"
서울,서울동작경찰서,"7,266"
서울,서울광진경찰서,"9,584"
서울,서울서부경찰서,"3,792"
서울,서울강북경찰서,"8,664"
서울,서울금천경찰서,"7,943"
서울,서울중랑경찰서,"10,743"
서울,서울강남경찰서,"14,891"
서울,서울관악경찰서,"11,883"
서울,서울강서경찰서,"13,068"
서울,서울강동경찰서,"9,576"
서울,서울종암경찰서,"3,890"
서울,서울구로경찰서,"10,369"
서울,서울서초경찰서,"10,200"
서울,서울양천경찰서,"8,481"
서울,서울송파경찰서,"14,480"
서울,서울노원경찰서,"9,211"
서울,서울방배경찰서,"3,650"
서울,서울은평경찰서,"5,375"
서울,서울도봉경찰서,"6,023"
서울,서울수서경찰서,"9,024"
부산,부산지방경찰청,"3,120"
부산,부산중부경찰서,"3,897"
부산,부산동래경찰서,"7,758"
부산,부산영도경찰서,"3,373"
부산,부산동부경찰서,"4,516"
부산,부산진경찰서,"13,395"
부산,부산서부경찰서,"3,801"
부산,부산남부경찰서,"11,865"
부산,부산해운대경찰서,"10,161"
부산,부산사상경찰서,"7,559"
부산,부산금정경찰서,"7,463"
부산,부산사하경찰서,"7,902"
부산,부산연제경찰서,"7,337"
부산,부산강서경찰서,"3,214"
부산,부산북부경찰서,"6,885"
부산,부산기장경찰서,"3,631"
대구,대구지방경찰청,"1,594"
대구,대구중부경찰서,"5,927"
대구,대구동부경찰서,"9,890"
대구,대구서부경찰서,"7,104"
대구,대구남부경찰서,"5,835"
대구,대구북부경찰서,"6,664"
대구,대구수성경찰서,"9,689"
대구,대구달서경찰서,"7,002"
대구,대구성서경찰서,"8,974"
대구,대구달성경찰서,"4,032"
대구,대구강북경찰서,"6,194"
인천,인천지방경찰청,"1,835"
인천,인천중부경찰서,"6,806"
인천,인천남부경찰서,"13,827"
인천,인천남동경찰서,"15,719"
인천,인천부평경찰서,"8,049"
인천,인천삼산경찰서,"8,004"
인천,인천서부경찰서,"13,421"
인천,인천계양경찰서,"7,795"
인천,인천연수경찰서,"7,981"
인천,인천강화경찰서,"1,634"
광주,광주지방경찰청,627
광주,광주동부경찰서,"4,971"
광주,광주서부경찰서,"11,495"
광주,광주남부경찰서,"5,114"
광주,광주북부경찰서,"13,163"
광주,광주광산경찰서,"11,017"
대전,대전지방경찰청,819
대전,대전중부경찰서,"8,535"
대전,대전동부경찰서,"7,295"
대전,대전서부경찰서,"5,627"
대전,대전대덕경찰서,"4,656"
대전,대전둔산경찰서,"7,934"
대전,대전유성경찰서,"7,450"
울산,울산지방경찰청,635
울산,울산중부경찰서,"10,302"
울산,울산남부경찰서,"12,146"
울산,울산동부경찰서,"5,333"
울산,울산울주경찰서,"6,215"
경기남부,경기남부지방경찰청,"3,144"
경기남부,경기수원중부경찰서,"14,565"
경기남부,경기수원남부경찰서,"17,496"
경기남부,경기수원서부경찰서,"9,807"
경기남부,경기안양동안경찰서,"8,483"
경기남부,경기안양만안경찰서,"7,990"
경기남부,경기군포경찰서,"7,386"
경기남부,경기성남수정경찰서,"9,355"
경기남부,경기성남중원경찰서,"9,849"
경기남부,경기분당경찰서,"12,147"
경기남부,경기부천소사경찰서,"6,418"
경기남부,경기부천원미경찰서,"18,107"
경기남부,경기부천오정경찰서,"5,649"
경기남부,경기광명경찰서,"8,715"
경기남부,경기안산단원경찰서,"16,613"
경기남부,경기안산상록경찰서,"13,475"
경기남부,경기시흥경찰서,"19,608"
경기남부,경기평택경찰서,"22,678"
경기남부,경기화성동부경찰서,"14,861"
경기남부,경기화성서부경찰서,"12,492"
경기남부,경기용인동부경찰서,"13,843"
경기남부,경기용인서부경찰서,"6,817"
경기남부,경기광주경찰서,"10,210"
경기남부,경기김포경찰서,"10,241"
경기남부,경기과천경찰서,"1,794"
경기남부,경기의왕경찰서,"3,316"
경기남부,경기하남경찰서,"5,144"
경기남부,경기이천경찰서,"7,267"
경기남부,경기안성경찰서,"6,364"
